,set_num,name_x,year,num_parts,theme_name,id,parent_theme,is_licensed
0,00-1,Weetabix Castle,1970,471.0,Castle,411,Legoland,False
1,00-2,Weetabix Promotional House 1,1976,,Building,411,Legoland,False
2,00-3,Weetabix Promotional House 2,1976,,Building,411,Legoland,False
3,00-4,Weetabix Promotional Windmill,1976,126.0,Building,411,Legoland,False
4,00-7,Weetabix Promotional Lego Village,1976,,Building,411,Legoland,False
5,102A-1,Front-End Loader,1970,64.0,Construction,411,Legoland,False
6,102A-2,Front-End Loader,1970,,Construction,411,Legoland,False
7,1-10,Mini-Wheel Model Maker No. 1,1971,88.0,Vehicle,411,Legoland,False
8,1550-1,Sterling Super Caravelle,1972,,Airport,411,Legoland,False
9,1551-2,Sterling Luggage Carrier,1972,49.0,Airport,411,Legoland,False
10,1552-2,Sterling Boeing 727,1974,45.0,Airport,411,Legoland,False
11,1555-2,Sterling Airways Biplane,1978,,Airport,411,Legoland,False
12,1560-2,Lufthansa Boeing 727,1976,44.0,Airport,411,Legoland,False
13,1562-3,Lufthansa Double-Decker,1976,,Airport,411,Legoland,False
14,157-3,Four Car Auto Transport,1970,,Vehicle,411,Legoland,False
15,1601-1,Conveyance,1976,,Construction,411,Legoland,False
16,1610-2,Martinair Cessna,1978,82.0,Airport,411,Legoland,False
17,1611-2,Martinair DC-9,1978,63.0,Airport,411,Legoland,False
18,2-10,Mini-Wheel Model Maker No. 2,1971,63.0,Vehicle,411,Legoland,False
19,248-2,Factory With Conveyor Belt,1971,208.0,Construction,411,Legoland,False
20,338-1,Ambulance,1970,74.0,Hospital,411,Legoland,False
21,344-1,Bungalow,1969,77.0,Building,411,Legoland,False
22,345-1,House with Mini Wheel Car,1969,132.0,Building,411,Legoland,False
23,346-1,Jumbo Jet,1970,,Airport,411,Legoland,False
24,346-2,House with Car,1969,167.0,Building,411,Legoland,False
25,347-1,Fire Station with Mini Cars,1970,205.0,Fire,411,Legoland,False
26,348-1,Garage with Automatic Doors,1971,38.0,Building,411,Legoland,False
27,349-1,Swiss Chalet,1971,81.0,Building,411,Legoland,False
28,350-1,Spanish Villa,1971,126.0,Building,411,Legoland,False
29,351-1,Loader Hopper with Truck,1971,170.0,Construction,411,Legoland,False
30,352-1,Windmill and Lorry,1972,142.0,Building,411,Legoland,False
31,353-1,Terrace House with Car and Garage,1972,153.0,Building,411,Legoland,False
32,354-1,Police Heliport,1972,173.0,Police,411,Legoland,False
33,355-1,Town Center Set with Roadways,1972,,Building,411,Legoland,False
34,356-1,Swiss Villa,1973,,Building,411,Legoland,False
35,357-1,Fire Station,1973,236.0,Fire,411,Legoland,False
36,358-1,Rocket Base,1973,276.0,Space,411,Legoland,False
37,360-1,Gravel Quarry,1974,211.0,Construction,411,Legoland,False
38,361-1,Tea Garden Cafe with Baker's Van,1974,214.0,Building,411,Legoland,False
39,362-1,Windmill,1975,,Building,411,Legoland,False
40,363-1,Hospital with Figures,1975,,Hospital,411,Legoland,False
41,364-1,Harbour Scene,1975,515.0,Harbor,411,Legoland,False
42,367-1,Moon Landing,1975,363.0,Space,411,Legoland,False
43,368-1,Taxi Station,1976,157.0,Building,411,Legoland,False
44,369-1,Coast Guard Station,1976,,Coast Guard,411,Legoland,False
45,370-1,Police Headquarters,1976,300.0,Police,411,Legoland,False
46,371-1,Tipper Truck,1971,47.0,Construction,411,Legoland,False
47,371-3,Seaplane,1977,,Airport,411,Legoland,False
48,373-1,Offshore Rig with Fuel Tanker,1977,,Gas Station,411,Legoland,False
49,373-2,Ambulance,1971,65.0,Hospital,411,Legoland,False
50,374-2,Fire Engine,1971,,Fire,411,Legoland,False
51,376-1,Low-Loader with Excavator,1971,91.0,Construction,411,Legoland,False
52,377-2,Crane with Float Truck,1971,,Construction,411,Legoland,False
53,3-8,Mini-Wheel Model Maker No. 3,1971,65.0,Vehicle,411,Legoland,False
54,380-1,Village Set,1971,7.0,Building,411,Legoland,False
55,381-1,Lorry and Fork Lift Truck,1973,,Construction,411,Legoland,False
56,383-1,Truck with Excavator,1973,102.0,Construction,411,Legoland,False
57,386-1,Helicopter and Ambulance,1976,,Hospital,411,Legoland,False
58,387-1,Excavator and Dumper,1976,,Construction,411,Legoland,False
59,40081-1,LEGOLAND Picture Frame - Florida Edition,2013,121.0,Legoland,411,Legoland,False
60,40081-2,LEGOLAND Picture Frame - Deutschland Edition,2013,121.0,Legoland,411,Legoland,False
61,40081-3,LEGOLAND Picture Frame - Billund Edition,2013,,Legoland,411,Legoland,False
62,40081-4,LEGOLAND Picture Frame - Malaysia Edition,2013,,Legoland,411,Legoland,False
63,40081-5,LEGOLAND Picture Frame - Windsor Edition,2013,121.0,Legoland,411,Legoland,False
64,410-1,Payloader,1973,,Construction,411,Legoland,False
65,420-1,Police Car,1973,,Police,411,Legoland,False
66,425-1,Fork Lift,1976,21.0,Construction,411,Legoland,False
67,430-1,Biplane,1975,,Airport,411,Legoland,False
68,435-1,Tipper Truck,1976,23.0,Construction,411,Legoland,False
69,445-1,Police Units,1976,,Police,411,Legoland,False
70,450-1,Fork Lift,1973,,Construction,411,Legoland,False
71,455-1,Lear Jet,1976,45.0,Airport,411,Legoland,False
72,456-1,Spirit of St. Louis,1977,,Airport,411,Legoland,False
73,460-1,Rescue Units,1973,,Hospital,411,Legoland,False
74,480-1,Rescue Helicopter,1975,,Fire,411,Legoland,False
75,485-1,Fire Truck,1976,60.0,Fire,411,Legoland,False
76,490-1,Mobile Crane,1975,,Construction,411,Legoland,False
77,492-1,Truck & Payloader,1977,59.0,Construction,411,Legoland,False
78,540-3,Swiss Villa,1973,150.0,Building,411,Legoland,False
79,545-2,Conveyor Station,1973,,Construction,411,Legoland,False
80,550-2,Windmill,1976,211.0,Building,411,Legoland,False
81,555-1,Hospital,1976,229.0,Hospital,411,Legoland,False
82,560-2,Police Heliport,1973,,Police,411,Legoland,False
83,565-1,Moon Landing,1976,,Space,411,Legoland,False
84,570-1,Fire House,1973,,Fire,411,Legoland,False
85,580-1,Brick Yard,1975,216.0,Construction,411,Legoland,False
86,585-1,Police Headquarters,1976,,Police,411,Legoland,False
87,600-1,Ambulance,1970,,Hospital,411,Legoland,False
88,602-2,Fire Truck,1970,,Fire,411,Legoland,False
89,604-2,Excavator,1971,28.0,Construction,411,Legoland,False
90,606-2,Tipper Lorry,1972,22.0,Construction,411,Legoland,False
91,608-1,Kiosk,1971,33.0,Building,411,Legoland,False
92,609-1,Aeroplane,1972,28.0,Airport,411,Legoland,False
93,611-1,Police Car,1973,19.0,Police,411,Legoland,False
94,612-1,Tipper Truck,1974,,Construction,411,Legoland,False
95,613-1,Biplane,1974,,Airport,411,Legoland,False
96,614-1,Excavator,1974,31.0,Construction,411,Legoland,False
97,615-2,Fork Lift with Driver,1975,21.0,Construction,411,Legoland,False
98,616-1,Cargo Ship,1976,31.0,Harbor,411,Legoland,False
99,618-1,Police Helicopter,1977,38.0,Police,411,Legoland,False
100,620-2,Fire Truck,1970,,Fire,411,Legoland,False
101,621-2,Shell Tanker Truck,1970,,Gas Station,411,Legoland,False
102,622-2,Baggage Carts,1970,,Airport,411,Legoland,False
103,628-2,Police Helicopter,1977,38.0,Police,411,Legoland,False
104,640-1,Fire Truck,1971,45.0,Fire,411,Legoland,False
105,642-2,Double Excavator,1971,33.0,Construction,411,Legoland,False
106,643-2,Mobile Crane,1971,35.0,Construction,411,Legoland,False
107,644-1,Double Tanker,1971,,Gas Station,411,Legoland,False
108,647-1,Truck with Girders,1971,51.0,Construction,411,Legoland,False
109,648-1,Shell Service Station,1971,,Gas Station,411,Legoland,False
110,649-1,Low-Loader with Excavator,1972,36.0,Construction,411,Legoland,False
111,652-2,Fork Lift Truck and Trailer,1972,,Construction,411,Legoland,False
112,653-1,Ambulance and Helicopter,1973,36.0,Hospital,411,Legoland,False
113,654-1,Crane Lorry,1973,33.0,Construction,411,Legoland,False
114,655-1,Mobile Hydraulic Lift,1973,33.0,Construction,411,Legoland,False
115,656-1,Car and Caravan,1974,49.0,Legoland,411,Legoland,False
116,657-1,Executive Jet,1974,,Airport,411,Legoland,False
117,658-1,Fire Engine,1974,38.0,Fire,411,Legoland,False
118,659-1,Police Patrol with Policemen,1975,,Police,411,Legoland,False
119,661-1,Spirit of St. Louis,1976,,Airport,411,Legoland,False
120,662-1,Dumper Lorry,1976,27.0,Construction,411,Legoland,False
121,663-1,Hovercraft,1977,60.0,Harbor,411,Legoland,False
122,680-1,Low-Loader and Crane,1971,62.0,Construction,411,Legoland,False
123,681-1,Low-Loader with 4 Wheel Excavator,1971,63.0,Construction,411,Legoland,False
124,682-1,Low-Loader and Tractor,1971,57.0,Construction,411,Legoland,False
125,683-1,Articulated Lorry,1971,58.0,Vehicle,411,Legoland,False
126,684-1,Low-Loader with Fork Lift Truck,1972,,Construction,411,Legoland,False
127,686-1,Tipper Trucks and Loader,1973,70.0,Construction,411,Legoland,False
128,687-1,Caravelle Plane,1973,,Airport,411,Legoland,False
129,688-1,Shell Double Tanker,1973,,Gas Station,411,Legoland,False
130,689-1,Mobile Crane,1974,,Construction,411,Legoland,False
131,690-1,Shell Station,1974,,Gas Station,411,Legoland,False
132,691-1,Rescue Helicopter,1974,,Fire,411,Legoland,False
133,692-1,Road Repair Crew,1975,59.0,Construction,411,Legoland,False
134,693-1,Fire Engine with Firemen,1975,72.0,Fire,411,Legoland,False
135,698-1,JAL Boeing 727,1977,,Airport,411,Legoland,False
136,712-1,Sea Plane,1977,115.0,Airport,411,Legoland,False
137,730-1,Steam Shovel with Carrier,1973,102.0,Construction,411,Legoland,False
138,770-1,Rescue Set,1976,142.0,Hospital,411,Legoland,False
139,780-1,Road Construction Set,1976,159.0,Construction,411,Legoland,False
140,850502-1,I 'L brick' Anaheim Figure Magnet,2012,6.0,Legoland,411,Legoland,False
141,850751-1,Orlando Picture Frame,2013,101.0,Legoland,411,Legoland,False
142,0011-2,Town Mini-Figures,1978,,Supplemental,50,Town,False
143,00-6,Special Offer,1985,3.0,Classic Town,50,Town,False
144,10036-1,Pizza To Go,2002,150.0,Food & Drink,50,Town,False
145,10037-1,Breezeway Cafe,2002,194.0,Food & Drink,50,Town,False
146,10041-1,"Main Street, Reissue",2003,639.0,Traffic,50,Town,False
147,10156-1,LEGO Truck,2004,105.0,Traffic,50,Town,False
148,10159-1,City Airport -City Logo Box,2004,913.0,Airport,50,Town,False
149,10159-2,City Airport -Full Size Image Box,2004,913.0,Airport,50,Town,False
150,10184-1,Town Plan,2008,2017.0,Town Plan,50,Town,False
151,1029-1,Milk Delivery Truck - Tine,1999,90.0,Food & Drink,50,Town,False
152,105-1,Canada Post Truck,1984,,Post Office,50,Town,False
153,106-1,UNICEF Van,1985,59.0,Off-Road,50,Town,False
154,1068-1,Air Patrol,1999,20.0,Extreme Team,50,Town,False
155,1069-1,Speedboat,1999,22.0,Harbor,50,Town,False
156,1070-1,Stunt Flyer,1999,,Extreme Team,50,Town,False
157,107-2,Canada Post Mail Truck,1985,,Post Office,50,Town,False
158,1088-1,Road Burner,1999,,Extreme Team,50,Town,False
159,1096-1,Race Buggy,1997,23.0,Race,50,Town,False
160,1097-1,Res-Q Runner,1999,,Res-Q,50,Town,False
161,1098-1,Hang Glider,1998,,Extreme Team,50,Town,False
162,1100-1,Sky Pirates,2001,110.0,Airport,50,Town,False
163,1149-1,Air Police,2002,24.0,Police,50,Town,False
164,1180-1,Space Port Moon Buggy,1999,25.0,Space Port,50,Town,False
165,1181-1,Space Port Spacecraft,1999,23.0,Space Port,50,Town,False
166,1188-1,Fire Formula,1999,,Extreme Team,50,Town,False
167,1189-1,Rocket Boat,1999,,Extreme Team,50,Town,False
168,1190-1,Retro Buggy,1999,90.0,Extreme Team,50,Town,False
169,1191-1,Try Bird,1999,,Extreme Team,50,Town,False
170,11911-1,LEGO City: Build Your Own Adventure,2016,99.0,City,50,Town,False
171,1246-1,Helicopter,1999,26.0,Town,50,Town,False
172,1247-1,Patrol Car,1999,,Town,50,Town,False
173,1248-1,Fire Boat,1999,,Town,50,Town,False
174,1249-1,Tri-motorbike,1999,17.0,Hospital,50,Town,False
175,1250-1,Dragster,1999,,Race,50,Town,False
176,1251-1,Go-Cart,1999,25.0,Race,50,Town,False
177,1252-1,Shell Tanker,1999,,Gas Station,50,Town,False
178,1253-1,Shell Car Transporter,1999,,Gas Station,50,Town,False
179,1254-1,Shell Select Shop,1999,164.0,Gas Station,50,Town,False
180,1255-1,Shell Car Wash,1999,136.0,Gas Station,50,Town,False
181,1256-1,Shell Petrol Pump,1999,,Gas Station,50,Town,False
182,1265-1,Moon Buggy,1999,,Space Port,50,Town,False
183,1266-1,Space Probe,1999,,Space Port,50,Town,False
184,1272-1,Blue Racer,2000,,Race,50,Town,False
185,1273-1,Red Four Wheel Driver,2000,20.0,Race,50,Town,False
186,1282-1,Blue Racer,2000,,Race,50,Town,False
187,1283-1,Red Four Wheel Driver,2000,20.0,Race,50,Town,False
188,1284-1,Green Buggy,2000,23.0,Race,50,Town,False
189,1285-1,Yellow Tiger,2001,,Race,50,Town,False
190,1294-1,Fire Helicopter,2000,,Town,50,Town,False
191,1295-1,Water Rider,2000,,Extreme Team,50,Town,False
192,1296-1,Land Scooper,2000,,Town,50,Town,False
193,1297-1,Speed Patroller,2000,,Town,50,Town,False
194,1461-1,Turbo Force,1992,31.0,Race,50,Town,False
195,1467-1,Shell Race Car,1987,46.0,Race,50,Town,False
196,1468-1,Shell Tanker,1987,,Station,50,Town,False
197,1470-1,Shell Station,1987,32.0,Station,50,Town,False
198,1472-1,Holiday Home,1987,,Building,50,Town,False
199,1475-1,Airport Security Squad,1991,,Airport,50,Town,False
200,1477-1,{Red Race Car Number 3},1991,,Race,50,Town,False
201,1484-1,Weetabix Town House,1987,215.0,Building,50,Town,False
202,1489-1,Mobile Car Crane,1989,,Traffic,50,Town,False
203,1490-1,Town Bank,1988,195.0,Traffic,50,Town,False
204,1496-1,Rally Car,1987,,Race,50,Town,False
205,1497-1,Rally and Pitcrew Team,1987,,Race,50,Town,False
206,1506-1,Town Value Pack,1986,,Classic Town,50,Town,False
207,1509-1,Town Value Pack,1987,2.0,Race,50,Town,False
208,1515-1,Town Value Pack,1989,2.0,Race,50,Town,False
209,1517-1,Race Car,1989,32.0,Race,50,Town,False
210,1518-1,Race Car Repair,1989,79.0,Race,50,Town,False
211,1520-2,Town 2 for 1 Bonus Offer,1990,,Classic Town,50,Town,False
212,1525-1,Container Lorry,1986,153.0,Cargo,50,Town,False
213,1528-1,Dragster,1986,,Race,50,Town,False
214,1552-1,Maersk Line Container Truck,1985,,Cargo,50,Town,False
215,1560-1,Glory Glider,1990,26.0,Airport,50,Town,False
216,1561-1,Stunt Chopper,1990,30.0,Airport,50,Town,False
217,1562-1,Wave Jumper,1990,25.0,Harbor,50,Town,False
218,1563-1,Track Blaster,1990,,Race,50,Town,False
219,1572-1,Super Tow Truck,1986,80.0,Traffic,50,Town,False
220,1581-2,Delivery Truck,1990,122.0,Food & Drink,50,Town,False
221,1589-1,Town Square,1978,,Traffic,50,Town,False
222,1589-2,TCS Breakdown Assistance,1986,258.0,Traffic,50,Town,False
223,1590-2,ANWB Breakdown Assistance,1982,,Traffic,50,Town,False
224,1591-1,Danone Truck,1980,,Food & Drink,50,Town,False
225,1592-1,Town Square - Castle Scene,1980,,Traffic,50,Town,False
226,1592-2,Town Square - Castle Scene (Dutch Version),1983,495.0,Traffic,50,Town,False
227,1610-1,Police Car,1991,,Police,50,Town,False
228,1611-1,Dune Buggy,1991,,Off-Road,50,Town,False
229,1612-1,Race Car,1988,,Race,50,Town,False
230,1620-2,Factory,1978,233.0,Food & Drink,50,Town,False
231,1630-1,Helicopter,1990,27.0,Airport,50,Town,False
232,1631-1,Black Racer,1990,,Race,50,Town,False
233,1632-1,Motor Boat,1990,28.0,Harbor,50,Town,False
234,1633-1,Loader Tractor,1990,,Construction,50,Town,False
235,1651-2,Maersk Line Container Truck,1980,305.0,Cargo,50,Town,False
236,1656-1,Evacuation Team,1991,,Fire,50,Town,False
237,1665-1,Dual FX Racers,1990,,Race,50,Town,False
238,1682-1,Space Shuttle,1990,419.0,Airport,50,Town,False
239,1687-1,Midnight Transport,1993,,Airport,50,Town,False
240,1690-1,Helicopter,1990,,Airport,50,Town,False
241,1693-1,Turbo Force,1992,26.0,Race,50,Town,False
242,1702-1,Fire Fighter 4 x 4,1994,59.0,Fire,50,Town,False
243,1710-1,Snowmobile,1994,24.0,Off-Road,50,Town,False
244,1720-1,Cactus Canyon Value Pack,1994,,Recreation,50,Town,False
245,1721-1,Sandypoint Marina Value Pack,1994,,Recreation,50,Town,False
246,1730-1,Snow Scooter,1994,,Off-Road,50,Town,False
247,1740-1,Kayak,1994,,Recreation,50,Town,False
248,1741-1,Car,1994,36.0,Recreation,50,Town,False
249,1742-1,Van,1994,81.0,Recreation,50,Town,False
250,1750-1,Renault Formula 1 Racer,1992,,Race,50,Town,False
251,1760-1,Go-Cart,1995,,Race,50,Town,False
252,1761-1,Paradisa Speedboat,1995,,Paradisa,50,Town,False
253,1762-1,Go-Cart,1995,,Race,50,Town,False
254,1772-1,Airport Container Truck,1991,79.0,Airport,50,Town,False
255,1773-1,Airline Maintenance Vehicle with Trailer,1996,108.0,Airport,50,Town,False
256,1774-1,Aircraft,1991,,Airport,50,Town,False
257,1775-1,Jet,1994,,Airport,50,Town,False
258,1782-1,Discovery Station,1997,,Divers,50,Town,False
259,1786-1,Jailbreak Joe,1995,189.0,Police,50,Town,False
260,1790-1,Shark Fisherman,1994,20.0,Recreation,50,Town,False
261,1791-1,Windsurfer & Van,1994,70.0,Recreation,50,Town,False
262,1792-1,Pleasure Cruiser,1994,65.0,Recreation,50,Town,False
263,1808-1,Light Aircraft and Ground Support,1996,121.0,Airport,50,Town,False
264,1815-1,Paradisa Lifeguard,1996,,Paradisa,50,Town,False
265,1817-1,Sea Plane with Hut and Boat,1996,134.0,Recreation,50,Town,False
266,1818-1,Aircraft and Ground Support Equipment and Vehicle,1996,203.0,Airport,50,Town,False
267,1821-1,Rally Racers,1996,195.0,Race,50,Town,False
268,1831-1,Maersk Line Container Lorry,1995,206.0,Cargo,50,Town,False
269,1831-2,Maersk Sealand Container Lorry,1995,206.0,Cargo,50,Town,False
